002.0, basic, 2, 820, 400
002.5, basic, 2, -20, 400
003.0, basic, 4, 400, -20
003.0, basic, 4, 400, 820
003.5, basic, 4, 820, -20
003.5, basic, 4, -20, -20
004.0, basic, 2,   820, 820
004.0, basic, 2, -20, 820
005.0, basic, 2, -20, -20
005.0, basic, 2,  820, -20
006.0, basic, 1, 400, 820
006.25, basic, 1, 820, 820 
006.5, basic, 1, 820, 400  
006.75, basic, 1, 820, -20 
007.0,  basic, 1, 400, -20
007.25, basic,  1, -20, -20
007.5, basic, 1, -20, 400
007.75, basic, 1, -20, 820
008.0, basic, 1, 400, 820
009.0, basic, 6, 820, -20
011.0, basic, 6, -20, 820
0013.0, basic, 1,820, 400
0013.0, basic, 1, -20, 400
014.0, basic, 1, 820, -20
014.0, basic, 1, 820, 820
014.0, basic, 1, -20, -20
014.0, basic, 1, -20, 820
016.0, basic, 1, 200, -20
016.0, basic, 1, 600, -20
018.0, basic, 1, 200, 820
018.0, basic, 1, 600, 820
020, basic, 1, -20, 820
020.33, basic, 1, 100, 820
020.66, basic, 1, 200, 820
020.99, basic, 1, 300, 820
021.33, basic, 1, 400, 820
021.66, basic, 1, 500, 820
022.0, basic, 1, 600, 820
022.33, basic, 1, 700, 820
022.66, basic, 1, 820, 820
023.0, basic, 6, 400, 820
024.0, basic, 6, 400, -20
026.0, basic, 4, 820, 400
027.0, basic, 4, -20, 400
029.0, basic, 2, 200, -20
029.0, basic, 2, 600, -20
029.0, basic, 2, 200, 820
029.0, basic, 2, 600, 820
031.0, basic, 3, 260, -20
032.0, homing, 1, 400, -20
033.0, basic, 2, 820, -20
033.0, basic, 2, -20, -20
034.0, basic, 1, -20, 820
034.0, basic, 1, 820, 820
035.0, homing, 1, 400, 820
036.0, basic, 8, -20, -20
036.0, basic, 8, -20, 820
038.0, homing, 1, 820, 400
039.0, homing, 1, 820, -20
040.0, homing, 1, 820, 820
041.0, homing, 1, -20, -20
042.0, homing, 1, -20, 820
044.0, basic, 1, 400, 820
045.0, basic, 1, 200, 820
045.0, basic, 1, 600, 820
046.0, basic, 2, 820, 820
046.0, basic, 2, -20, 820
047.0, basic, 1, 820, 400
047.0, basic, 1, -20, 400
048.0, homing, 1, 400, -20
048.0, homing, 1, 400, 820
049.0, basic, 3, 820, -20
049.0, basic, 3, -20, -20
050.0, basic, 1, 100, 820
050.66, basic, 1, 200, 820
050.99, basic, 1, 300, 820
051.33, basic, 1, 400, 820
051.66, basic, 1, 500, 820
052.0, basic, 1, 600, 820
052.33, basic, 1, 700, 820
052.66, basic, 1, 820, 820
